player_id,gender,player_type,framed,relative_freq_strat1,DarkFactor,CRUD,PATHY,EGO,SPITE,MACH,SAD,SCTR,FRUST,NARC,PENT,MDIS,GRE,strategy_changes,yule_q,yule_y,cum_payoff
jiebe12q,1,1,0,0.185714286,3.228571429,3.5,3.5,3,3.5,3.25,3,3,3.5,2.666666667,3.5,3,3,12,-0.999999999,-0.999946306,930
gyckpsyt,2,2,0,0.014285714,1.8,2,1.833333333,2.333333333,2.5,1.25,1.4,2.5,1,2,2,2,1,2,0.999999931,0.999627383,930
7h7cf7jw,2,1,0,0.971428571,2.485714286,1.5,2.666666667,3,1.5,3.25,2,1,2.5,2.666666667,3.5,5,3,4,-0.999999954,-0.999695697,781
egrlpjt0,2,2,0,0.071428571,1.942857143,2,1.833333333,3.333333333,1,2.25,1.2,3,2,2,2,1,1,8,-0.999999898,-0.999549398,668
w8d4usex,2,1,0,0.228571429,2.657142857,2.25,2.666666667,3.333333333,3,3,1.6,2.5,2.5,3.333333333,3.5,3,2,17,-0.565217391,-0.309718003,932
st9ftz75,1,2,0,0,2.028571429,1.75,2,2.666666667,1,2.25,1,2.5,1.5,2,4,2,4,0,-0.542857143,-0.29505911,916
crzbb1pp,2,1,0,0.485714286,1.942857143,1.75,2,2.333333333,2,2,1.6,2,3,1.666666667,2.5,1,1,17,-0.514195583,-0.276795537,742
q9c5lo1x,1,2,0,0.457142857,2.285714286,2,2.833333333,2.333333333,2.5,1.75,2,1.5,2,3,2.5,2,3,29,-0.277419355,-0.141486424,728
6i6lsymy,2,1,0,0.785714286,2.342857143,2.25,2.666666667,2.333333333,1,3.25,2,3,2,2,3,1,2,14,-0.875598086,-0.590407455,773
0xwx0wrp,2,2,0,0.428571429,2.457142857,2,2.166666667,1.666666667,3.5,2.75,2.6,1.5,2.5,3,3,3,3,31,-0.074626865,-0.037365529,580
ursirs43,2,1,0,0.742857143,2.257142857,2.75,2.833333333,2,1,2.25,2,2,1.5,2.333333333,3,1,3,23,-0.999999999,-0.999948655,789
swbsts7n,1,2,0,0.185714286,2.571428571,2.5,2.166666667,3,2,4,1.4,2,1.5,2.333333333,5,5,2,16,0.154362416,0.077646533,708
bhaakguo,1,1,0,0.028571429,1.8,1.25,2.666666667,1.333333333,2,2.25,1,1.5,2,1.666666667,2.5,1,2,1,-0.971014493,-0.783695186,974
vntc9er4,2,2,0,0,2.142857143,2.25,2,2,1.5,2.5,2,2,2.5,1.666666667,3,2,3,0,-0.942857143,-0.707215036,972
eze54kxk,2,1,0,0.542857143,2.628571429,2.25,3,3,2.5,3,2.2,2.5,3,2.666666667,2.5,2,2,19,-0.999999997,-0.999927261,833
20cc9xq0,2,2,0,0.042857143,1.914285714,1.75,1.833333333,2,1.5,1.75,1.6,3,3,1.666666667,2,2,2,6,0.999999996,0.999909438,834
ogmameyc,2,1,0,0.071428571,1.628571429,1.5,1.333333333,2.666666667,1,2,1,1.5,2,1.333333333,3,1,2,3,-0.600000001,-0.333333334,899
6h8woyh9,2,2,0,0.085714286,1.771428571,1,1.833333333,1.666666667,1,2.75,1.6,1,1.5,2,3,1,3,6,0.999999968,0.999748214,972
ycniewr6,2,1,0,0.114285714,1.742857143,1,1.333333333,2.333333333,1,2.25,1,3,1.5,2.333333333,3,1,3,7,-0.901639344,-0.629421601,893
4txwixdq,2,2,0,0.128571429,1.571428571,1,1.333333333,1.333333333,1.5,2.5,1,1,2,1,4,1,3,13,-0.696969697,-0.405899168,936
s48es8wr,2,1,0,0.485714286,1.828571429,2,2.166666667,2,1,2.5,1.4,2,1.5,1.333333333,2,1,2,22,-1,-0.999971191,805
cpep7vdg,2,2,0,0.157142857,3.171428571,2.75,3.833333333,3,2,3.75,2.2,2.5,3,3.333333333,5,4,3,20,0.288343558,0.147299912,826
o4plj56u,2,1,0,0.171428571,1.914285714,1.5,1.833333333,2.333333333,1.5,2.75,1,1.5,1.5,2,4,2,2,14,-1,-0.999977105,889
owd84sog,1,2,0,0.071428571,2.4,2.25,2.666666667,2.333333333,2,2,2,2.5,2.5,3,3,3,2,9,0.999999986,0.999831249,942
kdhmpvys,2,1,0,0.057142857,1.742857143,1.75,1.833333333,2.333333333,1,2.5,1.2,1.5,1.5,1.666666667,2,1,2,3,-1,-0.999989361,958
x2gcqvwb,1,2,0,0.028571429,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-0.911764706,-0.646314837,958
xurwn6zz,2,1,0,0.314285714,2.428571429,2.5,2.333333333,1.666666667,1.5,3,2.4,2.5,1.5,2.666666667,3.5,4,2,23,-0.999999999,-0.999945624,916
gsgult9w,1,2,0,0.028571429,2.4,2.25,3,1.666666667,3.5,2,2.2,2.5,2,2.333333333,3,3,1,3,-0.999999997,-0.999918044,876
bollw9mr,2,1,0,0.585714286,2.542857143,2.5,2.333333333,2.666666667,3,2.5,2.2,2.5,2,3.333333333,3.5,2,2,9,-0.999999999,-0.999960688,843
svszy7vv,2,2,0,0.142857143,2.485714286,2.25,2.333333333,3.333333333,4,1.75,1.6,1,2.5,2.666666667,5,2,4,11,-0.531914893,-0.2880201,756
t1tzrcmi,1,1,0,0.071428571,1.8,1.5,1.666666667,2.666666667,1,2.25,1.8,1.5,1.5,2,2.5,1,1,7,-0.884057971,-0.602474902,965
icec28hf,2,2,0,0,2.657142857,2.25,2.833333333,3.333333333,2.5,2.25,2.4,2.5,2.5,3,3.5,3,2,0,-0.857142857,-0.565741454,960
chdxrfak,1,1,0,0.414285714,2.371428571,2,2.5,2.666666667,2.5,2.5,1.8,1.5,3,2,3,4,3,7,-0.899736147,-0.626367785,855
